0. (0.267245, 0.920034, 0.582003, 0.316512, 0.705190, 0.546076, 0.661495, 0.223873)  (0.277287, 0.911473, 0.576914, 0.307567, 0.673557, 0.545494, 0.636494, 0.220658)  (0.286324, 0.899861, 0.568994, 0.295220, 0.637241, 0.544792, 0.604574, 0.218169)  (0.294674, 0.884470, 0.557268, 0.279074, 0.595683, 0.543611, 0.566634, 0.215418)  (0.302797, 0.864820, 0.540896, 0.258946, 0.548396, 0.541508, 0.523003, 0.211729)  (0.311287, 0.840915, 0.519301, 0.235091, 0.495262, 0.538026, 0.473905, 0.206717)  (0.320753, 0.813414, 0.492290, 0.208361, 0.437052, 0.532820, 0.420164, 0.200275)  (0.331680, 0.783597, 0.460103, 0.180152, 0.375742, 0.525811, 0.363640, 0.192545)  (0.344337, 0.753070, 0.423386, 0.152123, 0.314252, 0.517289, 0.307071, 0.183878)  (0.358796, 0.723373, 0.383074, 0.125791, 0.255727, 0.507892, 0.253403, 0.174745)  (0.374986, 0.695664, 0.340285, 0.102231, 0.202755, 0.498474, 0.205050, 0.165649)  (0.392705, 0.670635, 0.296270, 0.081985, 0.156940, 0.489921, 0.163477, 0.157046)  (0.411575, 0.648613, 0.252445, 0.065152, 0.118890, 0.482969, 0.129193, 0.149301)  (0.430941, 0.629698, 0.210410, 0.051577, 0.088461, 0.478046, 0.101994, 0.142658)  (0.449796, 0.613841, 0.171883, 0.041001, 0.065047, 0.475142, 0.081242, 0.137213)  (0.466762, 0.600829, 0.138495, 0.033169, 0.047783, 0.473715, 0.066090, 0.132879)  (0.480169, 0.590217, 0.111530, 0.027875, 0.035671, 0.472695, 0.055628, 0.129354)  (0.488185, 0.581308, 0.091724, 0.024990, 0.027653, 0.470621, 0.049011, 0.126128)  (0.488997, 0.573205, 0.079212, 0.024479, 0.022693, 0.465914, 0.045565, 0.122538)  (0.481100, 0.564964, 0.073596, 0.026380, 0.019850, 0.457278, 0.044847, 0.117889)  (0.463793, 0.555835, 0.074018, 0.030698, 0.018351, 0.444109, 0.046587, 0.111662)  (0.437843, 0.545525, 0.079180, 0.037183, 0.017629, 0.426776, 0.050469, 0.103752)  (0.405934, 0.534356, 0.087341, 0.045098, 0.017307, 0.406492, 0.055849, 0.094635)  (0.372333, 0.523161, 0.096494, 0.053164, 0.017140, 0.384702, 0.061594, 0.085288)  (0.341667, 0.512829, 0.104783, 0.059855, 0.016943, 0.362211, 0.066186, 0.076821)  (0.317173, 0.503985, 0.110883, 0.063907, 0.016528, 0.338812, 0.068412, 0.070009)  

1. (0.286494, 0.908900, 0.599231, 0.307841, 0.656636, 0.545824, 0.596615, 0.231783)  (0.297628, 0.902098, 0.596586, 0.299561, 0.622046, 0.545325, 0.568140, 0.229415)  (0.306586, 0.893213, 0.590762, 0.288380, 0.584915, 0.545164, 0.537323, 0.226939)  (0.313472, 0.881165, 0.580656, 0.273511, 0.544995, 0.544921, 0.504692, 0.223559)  (0.318752, 0.865044, 0.565373, 0.254342, 0.501376, 0.544030, 0.469433, 0.218795)  (0.323264, 0.844479, 0.544409, 0.230830, 0.452991, 0.541834, 0.430146, 0.212440)  (0.328034, 0.819927, 0.517803, 0.203809, 0.399660, 0.537759, 0.386072, 0.204561)  (0.334007, 0.792675, 0.486129, 0.174972, 0.342880, 0.531553, 0.338059, 0.195485)  (0.341858, 0.764451, 0.450330, 0.146436, 0.285631, 0.523452, 0.288556, 0.185727)  (0.351967, 0.736844, 0.411435, 0.120107, 0.231351, 0.514157, 0.240693, 0.175861)  (0.364484, 0.710889, 0.370355, 0.097207, 0.182795, 0.504619, 0.197147, 0.166396)  (0.379370, 0.687011, 0.327867, 0.078173, 0.141455, 0.495785, 0.159512, 0.157700)  (0.396346, 0.665268, 0.284825, 0.062858, 0.107641, 0.488399, 0.128289, 0.149995)  (0.414770, 0.645635, 0.242408, 0.050845, 0.080899, 0.482883, 0.103257, 0.143387)  (0.433518, 0.628147, 0.202235, 0.041697, 0.060433, 0.479247, 0.083845, 0.137876)  (0.450939, 0.612841, 0.166215, 0.035100, 0.045344, 0.477008, 0.069386, 0.133323)  (0.464912, 0.599589, 0.136209, 0.030912, 0.034723, 0.475171, 0.059231, 0.129399)  (0.472986, 0.587958, 0.113675, 0.029173, 0.027668, 0.472325, 0.052836, 0.125551)  (0.472601, 0.577192, 0.099447, 0.030110, 0.023310, 0.466925, 0.049854, 0.121028)  (0.461533, 0.566364, 0.093637, 0.034055, 0.020859, 0.457739, 0.050176, 0.115024)  (0.438708, 0.554696, 0.095540, 0.041231, 0.019668, 0.444372, 0.053812, 0.106954)  (0.405301, 0.541959, 0.103507, 0.051369, 0.019251, 0.427613, 0.060540, 0.096817)  (0.364142, 0.529919, 0.114227, 0.062921, 0.019143, 0.409463, 0.070940, 0.085535)  (0.316510, 0.527499, 0.119546, 0.070720, 0.018325, 0.394240, 0.091215, 0.075817)  (0.290905, 0.506912, 0.136260, 0.083927, 0.019501, 0.373719, 0.087315, 0.065289)  (0.268313, 0.497552, 0.143905, 0.089511, 0.019505, 0.355020, 0.089043, 0.058652)  

2. (0.311392, 0.893468, 0.622141, 0.297246, 0.596554, 0.542855, 0.504996, 0.245273)  (0.323849, 0.889571, 0.622351, 0.290750, 0.558994, 0.542294, 0.474221, 0.243398)  (0.332684, 0.884698, 0.618917, 0.281822, 0.521784, 0.542588, 0.446507, 0.240600)  (0.337753, 0.877196, 0.610617, 0.269077, 0.484918, 0.543281, 0.421694, 0.236356)  (0.339459, 0.865645, 0.596471, 0.251321, 0.446809, 0.543715, 0.397702, 0.230330)  (0.338853, 0.849320, 0.576043, 0.228135, 0.405026, 0.543029, 0.371365, 0.222368)  (0.337428, 0.828530, 0.549677, 0.200384, 0.358071, 0.540340, 0.340081, 0.212624)  (0.336720, 0.804626, 0.518448, 0.170245, 0.306842, 0.535128, 0.303429, 0.201617)  (0.337980, 0.779497, 0.483780, 0.140549, 0.254529, 0.527551, 0.263464, 0.190124)  (0.342059, 0.754770, 0.446905, 0.113803, 0.205092, 0.518415, 0.223519, 0.178939)  (0.349443, 0.731273, 0.408492, 0.091466, 0.161596, 0.508831, 0.186595, 0.168648)  (0.360304, 0.709038, 0.368675, 0.073843, 0.125435, 0.499829, 0.154425, 0.159538)  (0.374458, 0.687737, 0.327498, 0.060449, 0.096549, 0.492129, 0.127489, 0.151647)  (0.391244, 0.667158, 0.285484, 0.050508, 0.074094, 0.486080, 0.105525, 0.144878)  (0.409377, 0.647429, 0.244010, 0.043334, 0.057033, 0.481651, 0.088043, 0.139079)  (0.426872, 0.628916, 0.205246, 0.038507, 0.044421, 0.478396, 0.074601, 0.134031)  (0.441075, 0.611927, 0.171738, 0.035931, 0.035451, 0.475403, 0.064887, 0.129368)  (0.448811, 0.596419, 0.145851, 0.035826, 0.029396, 0.471360, 0.058751, 0.124493)  (0.446668, 0.581878, 0.129306, 0.038694, 0.025578, 0.464823, 0.056266, 0.118573)  (0.431653, 0.567463, 0.122822, 0.045169, 0.023380, 0.454717, 0.057744, 0.110697)  (0.402430, 0.552417, 0.125752, 0.055657, 0.022297, 0.440971, 0.063535, 0.100254)  (0.360873, 0.536610, 0.135797, 0.069771, 0.021953, 0.424907, 0.073539, 0.087422)  (0.304771, 0.531885, 0.140488, 0.080818, 0.020781, 0.411111, 0.098520, 0.075014)  (0.117489, 0.604620, 0.042052, 0.026225, 0.005816, 0.450239, 0.118276, 0.066402)  (0.228195, 0.508281, 0.162194, 0.106187, 0.021450, 0.386408, 0.120630, 0.053394)  (0.210568, 0.488801, 0.178458, 0.118445, 0.022823, 0.370242, 0.114086, 0.044697)  

3. (0.340279, 0.875885, 0.648626, 0.287998, 0.531730, 0.537615, 0.398679, 0.262086)  (0.353834, 0.876437, 0.651492, 0.284690, 0.492299, 0.536933, 0.368726, 0.260043)  (0.362428, 0.876848, 0.650355, 0.279058, 0.456110, 0.537514, 0.346562, 0.256502)  (0.365650, 0.874592, 0.643931, 0.268997, 0.423360, 0.538945, 0.330916, 0.251376)  (0.363655, 0.867811, 0.631069, 0.252673, 0.391709, 0.540627, 0.318799, 0.244361)  (0.357492, 0.855721, 0.611275, 0.229290, 0.357143, 0.541544, 0.305851, 0.235063)  (0.348993, 0.838769, 0.585166, 0.199844, 0.316663, 0.540420, 0.287960, 0.223464)  (0.340318, 0.818525, 0.554415, 0.167218, 0.270640, 0.536339, 0.263486, 0.210203)  (0.333469, 0.797049, 0.521102, 0.135248, 0.222758, 0.529325, 0.234019, 0.196432)  (0.330005, 0.775927, 0.486803, 0.107263, 0.177801, 0.520354, 0.203037, 0.183355)  (0.330936, 0.755633, 0.451966, 0.085055, 0.139288, 0.510806, 0.173802, 0.171790)  (0.336719, 0.735645, 0.415976, 0.068778, 0.108500, 0.501844, 0.148124, 0.161997)  (0.347244, 0.715115, 0.377877, 0.057531, 0.084913, 0.494132, 0.126390, 0.153786)  (0.361755, 0.693561, 0.337337, 0.050099, 0.067192, 0.487856, 0.108253, 0.146778)  (0.378733, 0.671191, 0.295332, 0.045468, 0.053983, 0.482858, 0.093278, 0.140591)  (0.395812, 0.648758, 0.254223, 0.043053, 0.044243, 0.478660, 0.081255, 0.134877)  (0.409786, 0.627105, 0.217255, 0.042745, 0.037233, 0.474426, 0.072227, 0.129222)  (0.416753, 0.606712, 0.187787, 0.044881, 0.032375, 0.468975, 0.066466, 0.123001)  (0.412516, 0.587449, 0.168502, 0.050158, 0.029162, 0.461036, 0.064483, 0.115337)  (0.393499, 0.568691, 0.160689, 0.059400, 0.027139, 0.449796, 0.067008, 0.105286)  (0.358438, 0.549791, 0.163526, 0.073044, 0.025949, 0.435608, 0.074715, 0.092309)  (0.310317, 0.530712, 0.173704, 0.090455, 0.025365, 0.420362, 0.087574, 0.076859)  (0.256346, 0.513743, 0.184976, 0.108778, 0.025088, 0.407099, 0.105337, 0.060925)  (0.206447, 0.509235, 0.185008, 0.119447, 0.023966, 0.399901, 0.130924, 0.049426)  (0.173523, 0.486982, 0.201881, 0.138564, 0.025576, 0.390414, 0.134772, 0.036412)  (0.155975, 0.479512, 0.207078, 0.145007, 0.025770, 0.382985, 0.138664, 0.030939)  

4. (0.368866, 0.858090, 0.674321, 0.283688, 0.472430, 0.532554, 0.295042, 0.280094)  (0.382702, 0.864675, 0.678944, 0.284508, 0.432964, 0.531789, 0.270678, 0.276894)  (0.390965, 0.871501, 0.679713, 0.282427, 0.398562, 0.532125, 0.256472, 0.271936)  (0.392873, 0.874695, 0.675289, 0.274812, 0.369878, 0.533537, 0.249647, 0.265928)  (0.387982, 0.872028, 0.664136, 0.259326, 0.344132, 0.535864, 0.247125, 0.258539)  (0.376948, 0.863197, 0.645462, 0.234848, 0.315765, 0.538084, 0.244628, 0.248715)  (0.361630, 0.849347, 0.620006, 0.202575, 0.280298, 0.538419, 0.237543, 0.235805)  (0.344679, 0.832540, 0.590023, 0.166244, 0.237800, 0.535363, 0.223471, 0.220348)  (0.328968, 0.814989, 0.558345, 0.130872, 0.192775, 0.528737, 0.203556, 0.203947)  (0.317040, 0.798065, 0.527037, 0.100752, 0.151067, 0.519772, 0.181206, 0.188472)  (0.310685, 0.781691, 0.496438, 0.078076, 0.116734, 0.510252, 0.159712, 0.175215)  (0.310748, 0.764618, 0.465212, 0.062856, 0.090907, 0.501555, 0.140793, 0.164519)  (0.317135, 0.745350, 0.431349, 0.053761, 0.072519, 0.494255, 0.124643, 0.155947)  (0.328858, 0.723061, 0.393558, 0.049106, 0.059663, 0.488264, 0.110765, 0.148727)  (0.344065, 0.698014, 0.352289, 0.047512, 0.050594, 0.483169, 0.098744, 0.142147)  (0.360061, 0.671345, 0.309922, 0.048180, 0.044115, 0.478395, 0.088568, 0.135705)  (0.373222, 0.644473, 0.270238, 0.050903, 0.039478, 0.473148, 0.080590, 0.128943)  (0.379013, 0.618527, 0.237545, 0.055982, 0.036168, 0.466370, 0.075425, 0.121209)  (0.372617, 0.593973, 0.215497, 0.064103, 0.033765, 0.456995, 0.073919, 0.111645)  (0.350245, 0.570592, 0.205833, 0.076047, 0.031923, 0.444546, 0.077082, 0.099432)  (0.311232, 0.547986, 0.207287, 0.092049, 0.030424, 0.429873, 0.085769, 0.084287)  (0.260197, 0.526221, 0.215103, 0.111035, 0.029264, 0.415399, 0.100047, 0.066992)  (0.206425, 0.506173, 0.222916, 0.130580, 0.028559, 0.404112, 0.118379, 0.049560)  (0.160326, 0.489521, 0.226627, 0.147598, 0.028300, 0.397616, 0.137139, 0.034765)  (0.129383, 0.478033, 0.226820, 0.159310, 0.028260, 0.394591, 0.151352, 0.024853)  (0.115745, 0.472670, 0.227245, 0.164099, 0.028085, 0.391247, 0.156800, 0.020607)  

