0. (0.669161, 0.000000, 0.924776, 0.145151, 0.996647, 0.860686, 0.987873, 0.213230, 0.945433, 0.589983, 0.992860, 0.147404, 0.993708, 0.165691, 0.994967, 0.488582, 0.835646, 0.802326, 0.982433, 0.818771, 0.981947, 0.834880, 0.990563, 0.147850, 0.984166, 0.836128, 0.989037, 0.652845, 0.974971, 0.606381, 0.990923, 0.797391, 0.985730, 0.413235)  (0.244053, 0.000000, 0.985250, 0.387438, 0.861113, 0.434861, 0.976677, 0.131869, 0.962962, 0.315620, 0.988248, 0.705941, 0.985751, 0.691222, 0.989981, 0.142511, 0.983745, 0.878454, 0.963776, 0.889424, 0.971332, 0.628552, 0.722663, 0.129671, 0.971919, 0.320956, 0.978972, 0.311923, 0.972635, 0.847983, 0.691855, 0.599638, 0.977768, 0.139972)  (0.826529, 0.000000, 0.919964, 0.413290, 0.934348, 0.608809, 0.879665, 0.498450, 0.782601, 0.657235, 0.921799, 0.515249, 0.898200, 0.466797, 0.931798, 0.535538, 0.864472, 0.638311, 0.778402, 0.713333, 0.842968, 0.693589, 0.869086, 0.474311, 0.832674, 0.713772, 0.845164, 0.677630, 0.819629, 0.713985, 0.781071, 0.692470, 0.881900, 0.562371)  (0.989833, 0.000000, 0.973650, 0.436513, 0.976008, 0.646891, 0.963639, 0.673526, 0.926069, 0.580584, 0.962113, 0.688249, 0.951363, 0.717395, 0.963384, 0.706778, 0.866098, 0.725496, 0.906836, 0.792893, 0.925849, 0.806040, 0.922241, 0.638402, 0.888001, 0.831869, 0.883184, 0.807955, 0.862573, 0.698716, 0.685805, 0.875478, 0.846573, 0.845757)  (0.997012, 0.000000, 0.986207, 0.302415, 0.987879, 0.831303, 0.958802, 0.747488, 0.956639, 0.483615, 0.907280, 0.827278, 0.950395, 0.899101, 0.898136, 0.841941, 0.669820, 0.518412, 0.917242, 0.921314, 0.917532, 0.924495, 0.867222, 0.386879, 0.901499, 0.931800, 0.892891, 0.830845, 0.880435, 0.460222, 0.272000, 0.933121, 0.815979, 0.868839)  (0.988411, 0.000000, 0.982582, 0.577830, 0.989042, 0.745535, 0.954626, 0.701021, 0.953335, 0.830778, 0.888851, 0.852564, 0.935422, 0.926304, 0.873309, 0.809058, 0.860736, 0.719704, 0.910638, 0.936160, 0.849697, 0.938972, 0.831881, 0.817869, 0.814870, 0.937266, 0.748557, 0.915338, 0.671369, 0.821704, 0.336864, 0.931160, 0.381036, 0.850304)  (0.959364, 0.000000, 0.915444, 0.585431, 0.916225, 0.681744, 0.861084, 0.679271, 0.758052, 0.782721, 0.712241, 0.796850, 0.629208, 0.829434, 0.585247, 0.806203, 0.513780, 0.747614, 0.456027, 0.807047, 0.437839, 0.765724, 0.394998, 0.740177, 0.382334, 0.691800, 0.378044, 0.657751, 0.358598, 0.581288, 0.273481, 0.569718, 0.364633, 0.507703)  

1. (0.889259, 0.000000, 0.975037, 0.415740, 0.948750, 0.621583, 0.936926, 0.362513, 0.965872, 0.506247, 0.987235, 0.350220, 0.959224, 0.431849, 0.951519, 0.493219, 0.996124, 0.618270, 0.974666, 0.605410, 0.948024, 0.568762, 0.969211, 0.293046, 0.962548, 0.591115, 0.983708, 0.536312, 0.973607, 0.536644, 0.991821, 0.654026, 0.971689, 0.366312)  (0.820104, 0.000000, 0.919512, 0.436983, 0.986114, 0.572104, 0.891521, 0.430772, 0.868803, 0.597653, 0.971609, 0.438862, 0.978070, 0.381014, 0.981098, 0.475234, 0.980684, 0.564003, 0.875529, 0.608728, 0.914401, 0.600120, 0.969264, 0.392252, 0.876021, 0.611326, 0.965872, 0.565732, 0.908081, 0.632307, 0.970081, 0.572575, 0.904040, 0.436419)  (0.910076, 0.000000, 0.823471, 0.497918, 0.937867, 0.494696, 0.786480, 0.499410, 0.713078, 0.581421, 0.922734, 0.542123, 0.917943, 0.416695, 0.940813, 0.567329, 0.910134, 0.528161, 0.711917, 0.611849, 0.850398, 0.563511, 0.909511, 0.427045, 0.740832, 0.602650, 0.894905, 0.533350, 0.777444, 0.643971, 0.865359, 0.532133, 0.799276, 0.519034)  (0.997952, 0.000000, 0.886777, 0.523791, 0.922279, 0.513665, 0.831254, 0.620484, 0.839580, 0.489191, 0.886712, 0.552371, 0.895476, 0.503613, 0.886353, 0.602352, 0.835089, 0.554561, 0.824069, 0.642193, 0.838828, 0.510480, 0.878148, 0.498654, 0.792642, 0.609465, 0.827832, 0.588667, 0.813694, 0.595673, 0.792892, 0.597565, 0.799425, 0.617159)  (0.989398, 0.000000, 0.949264, 0.532117, 0.949605, 0.669858, 0.899069, 0.554172, 0.895795, 0.655245, 0.827922, 0.685603, 0.889023, 0.771435, 0.801166, 0.713352, 0.782451, 0.536534, 0.824139, 0.814621, 0.824209, 0.811704, 0.756966, 0.660066, 0.793279, 0.822375, 0.784611, 0.792349, 0.765109, 0.689896, 0.417452, 0.812594, 0.657050, 0.721055)  (0.961839, 0.000000, 0.963225, 0.789016, 0.985341, 0.733348, 0.855199, 0.281082, 0.928199, 0.852143, 0.638990, 0.599963, 0.896610, 0.882994, 0.613606, 0.607968, 0.853511, 0.238261, 0.883663, 0.905371, 0.881176, 0.906454, 0.682634, 0.860621, 0.872409, 0.906239, 0.880963, 0.907954, 0.857997, 0.845472, 0.169720, 0.909804, 0.545285, 0.583540)  (0.814854, 0.000000, 0.874779, 0.667218, 0.971380, 0.734174, 0.890567, 0.558778, 0.804611, 0.783314, 0.664012, 0.670378, 0.651826, 0.721204, 0.605251, 0.698569, 0.589258, 0.432273, 0.654755, 0.793661, 0.639253, 0.785381, 0.606132, 0.852772, 0.608949, 0.755762, 0.679533, 0.817707, 0.586678, 0.701317, 0.196122, 0.770649, 0.443676, 0.529555)  

2. (0.999413, 0.000000, 0.955942, 0.474635, 0.975624, 0.318181, 0.920159, 0.366069, 0.875824, 0.464599, 0.921233, 0.398066, 0.866564, 0.427397, 0.981644, 0.307332, 0.928780, 0.392779, 0.951276, 0.367748, 0.833883, 0.381286, 0.963307, 0.380882, 0.935360, 0.362055, 0.944875, 0.318016, 0.923440, 0.389193, 0.931442, 0.300182, 0.929996, 0.253879)  (0.972187, 0.000000, 0.855074, 0.517230, 0.991364, 0.494500, 0.833141, 0.516952, 0.816127, 0.499963, 0.974092, 0.518920, 0.985677, 0.443829, 0.981691, 0.559762, 0.980770, 0.478486, 0.818533, 0.524581, 0.897902, 0.496061, 0.982830, 0.449071, 0.810343, 0.521854, 0.956101, 0.473380, 0.850594, 0.542080, 0.973555, 0.487088, 0.841972, 0.496045)  (0.986320, 0.000000, 0.685280, 0.537735, 0.896007, 0.393710, 0.688709, 0.502383, 0.638462, 0.510899, 0.894467, 0.577674, 0.902229, 0.424146, 0.923087, 0.567507, 0.912161, 0.441630, 0.635237, 0.530140, 0.823350, 0.466419, 0.902525, 0.438281, 0.638179, 0.515073, 0.899379, 0.418525, 0.677743, 0.560279, 0.888175, 0.400415, 0.688823, 0.490355)  (0.999922, 0.000000, 0.727571, 0.523726, 0.743051, 0.515819, 0.747360, 0.491607, 0.780329, 0.546621, 0.776882, 0.491579, 0.769537, 0.494731, 0.786184, 0.499330, 0.805857, 0.458778, 0.743400, 0.483158, 0.721956, 0.533041, 0.697458, 0.505144, 0.735632, 0.487032, 0.741444, 0.497152, 0.694670, 0.524703, 0.764172, 0.491997, 0.722868, 0.475730)  (0.961016, 0.000000, 0.899211, 0.732390, 0.727866, 0.533796, 0.884972, 0.349542, 0.473098, 0.366958, 0.870551, 0.745875, 0.850746, 0.337160, 0.671942, 0.586103, 0.853669, 0.313038, 0.841198, 0.770556, 0.642947, 0.554667, 0.863859, 0.369695, 0.452267, 0.381648, 0.864428, 0.777752, 0.462463, 0.779142, 0.364913, 0.773831, 0.595328, 0.568407)  (0.789174, 0.000000, 0.847465, 0.658699, 0.971622, 0.701648, 0.863756, 0.546583, 0.798370, 0.732588, 0.691177, 0.615098, 0.665133, 0.620291, 0.647964, 0.660196, 0.651156, 0.365508, 0.736963, 0.725925, 0.707388, 0.717625, 0.733548, 0.822568, 0.713916, 0.729848, 0.800331, 0.827496, 0.706651, 0.727007, 0.296530, 0.805236, 0.519370, 0.581971)  (0.576262, 0.000000, 0.741057, 0.597284, 0.967001, 0.770084, 0.898752, 0.726542, 0.704822, 0.682137, 0.648416, 0.638993, 0.443730, 0.479616, 0.604597, 0.674367, 0.404372, 0.359903, 0.604260, 0.665055, 0.565169, 0.654763, 0.721641, 0.872464, 0.561090, 0.643027, 0.748770, 0.836314, 0.552759, 0.630563, 0.205699, 0.790216, 0.450139, 0.524639)  

3. (0.999631, 0.000000, 0.965174, 0.499836, 0.959398, 0.465652, 0.959669, 0.489370, 0.966420, 0.500093, 0.970385, 0.531501, 0.957326, 0.525963, 0.952294, 0.490788, 0.953745, 0.471270, 0.970747, 0.513960, 0.959445, 0.519225, 0.951512, 0.546063, 0.947669, 0.469041, 0.950338, 0.507292, 0.976326, 0.529305, 0.928263, 0.499141, 0.953544, 0.504199)  (0.974491, 0.000000, 0.882072, 0.590761, 0.992412, 0.383125, 0.773375, 0.529955, 0.772394, 0.513462, 0.965820, 0.627725, 0.961894, 0.349714, 0.961331, 0.663033, 0.980327, 0.383226, 0.779269, 0.516259, 0.794710, 0.490706, 0.981267, 0.481058, 0.764958, 0.521840, 0.966893, 0.377344, 0.886110, 0.618333, 0.966797, 0.386059, 0.763022, 0.530378)  (0.989148, 0.000000, 0.643571, 0.553940, 0.983897, 0.164886, 0.589081, 0.525003, 0.584508, 0.507674, 0.965995, 0.834063, 0.955985, 0.340412, 0.960507, 0.658773, 0.971968, 0.183984, 0.585332, 0.510582, 0.621757, 0.474402, 0.982292, 0.740461, 0.579608, 0.509188, 0.967654, 0.175827, 0.647110, 0.568791, 0.958938, 0.175580, 0.573905, 0.522229)  (0.955543, 0.000000, 0.790728, 0.569002, 0.890951, 0.416886, 0.724772, 0.591076, 0.718726, 0.524269, 0.853079, 0.610279, 0.798403, 0.375471, 0.837706, 0.675155, 0.842487, 0.462935, 0.714798, 0.531685, 0.704624, 0.453624, 0.881214, 0.524343, 0.697686, 0.522680, 0.844106, 0.462021, 0.789139, 0.607248, 0.793972, 0.458792, 0.641650, 0.584354)  (0.776104, 0.000000, 0.787635, 0.553718, 0.949165, 0.568850, 0.797477, 0.711765, 0.740619, 0.572969, 0.802181, 0.602320, 0.620128, 0.355193, 0.747685, 0.726898, 0.663741, 0.482192, 0.727586, 0.538371, 0.648940, 0.472446, 0.872026, 0.639414, 0.695477, 0.551268, 0.819065, 0.658628, 0.755896, 0.626773, 0.599100, 0.642109, 0.571731, 0.622592)  (0.503022, 0.000000, 0.680999, 0.549608, 0.973771, 0.727041, 0.863137, 0.810153, 0.671416, 0.589038, 0.695496, 0.600002, 0.385054, 0.307279, 0.650765, 0.674078, 0.397892, 0.341445, 0.646859, 0.543854, 0.565050, 0.517924, 0.861453, 0.813198, 0.614758, 0.552849, 0.836371, 0.815835, 0.631516, 0.602341, 0.337698, 0.781270, 0.497712, 0.563731)  (0.302596, 0.000000, 0.594873, 0.539368, 0.970987, 0.827471, 0.903709, 0.887405, 0.601792, 0.573588, 0.615131, 0.592806, 0.220630, 0.226545, 0.591497, 0.626822, 0.207059, 0.225022, 0.571867, 0.537092, 0.506050, 0.524707, 0.867543, 0.901320, 0.542445, 0.531137, 0.863901, 0.882760, 0.549853, 0.562492, 0.182588, 0.844488, 0.467708, 0.513166)  

4. (0.863675, 0.000000, 0.939487, 0.522129, 0.987749, 0.488822, 0.829658, 0.609065, 0.851276, 0.565944, 0.947038, 0.645420, 0.914006, 0.307560, 0.913791, 0.732128, 0.937232, 0.510004, 0.856375, 0.445080, 0.813588, 0.421219, 0.967526, 0.432417, 0.825919, 0.480731, 0.941829, 0.505954, 0.941111, 0.562980, 0.931123, 0.519561, 0.782765, 0.624927)  (0.905311, 0.000000, 0.916014, 0.584187, 0.987834, 0.426130, 0.764970, 0.617784, 0.798074, 0.544586, 0.929630, 0.657218, 0.877313, 0.263670, 0.883720, 0.774878, 0.924384, 0.458649, 0.803600, 0.476576, 0.748684, 0.413053, 0.972706, 0.451175, 0.768683, 0.498888, 0.928259, 0.452134, 0.931954, 0.624869, 0.901335, 0.465688, 0.695277, 0.622924)  (0.904407, 0.000000, 0.853157, 0.584048, 0.985469, 0.402797, 0.714791, 0.645849, 0.758479, 0.536892, 0.905281, 0.664934, 0.820330, 0.251000, 0.843188, 0.791337, 0.886019, 0.440747, 0.766150, 0.489432, 0.691631, 0.394236, 0.969501, 0.510618, 0.722955, 0.506013, 0.907921, 0.447648, 0.883720, 0.628063, 0.853505, 0.456427, 0.614865, 0.633630)  (0.802855, 0.000000, 0.808998, 0.557136, 0.978491, 0.502379, 0.740548, 0.714512, 0.771193, 0.548607, 0.853937, 0.616681, 0.687333, 0.266851, 0.778759, 0.786869, 0.758270, 0.488179, 0.786471, 0.482881, 0.664883, 0.380719, 0.944768, 0.557018, 0.734547, 0.502925, 0.874231, 0.588399, 0.856552, 0.612585, 0.731859, 0.579312, 0.576922, 0.641562)  (0.578087, 0.000000, 0.690892, 0.550271, 0.976704, 0.619826, 0.776187, 0.802131, 0.710861, 0.555173, 0.770798, 0.606381, 0.470267, 0.263788, 0.710780, 0.733213, 0.515698, 0.397649, 0.735180, 0.473122, 0.584438, 0.407144, 0.922253, 0.704442, 0.692267, 0.489296, 0.871515, 0.742761, 0.753081, 0.599109, 0.517799, 0.702402, 0.516115, 0.582550)  (0.320983, 0.000000, 0.579806, 0.548033, 0.979681, 0.761610, 0.842228, 0.890355, 0.615233, 0.544190, 0.660251, 0.586538, 0.243852, 0.192707, 0.627789, 0.649141, 0.260693, 0.231072, 0.636175, 0.478150, 0.513108, 0.448762, 0.927318, 0.854379, 0.610522, 0.483630, 0.905154, 0.865816, 0.634197, 0.574543, 0.280127, 0.818940, 0.476365, 0.519529)  (0.168704, 0.000000, 0.524341, 0.540332, 0.978151, 0.854584, 0.891014, 0.939711, 0.556976, 0.535317, 0.588289, 0.571083, 0.120592, 0.130654, 0.575091, 0.594764, 0.118091, 0.125470, 0.570445, 0.485213, 0.482350, 0.472600, 0.935135, 0.929643, 0.554987, 0.482717, 0.934788, 0.923002, 0.567473, 0.549309, 0.146434, 0.883917, 0.468107, 0.489673)  

