0. (0.996125, 0.003875, 0.817757, 0.009601, 0.172642, 0.184605, 0.296980, 0.518415, 0.365188, 0.634812, 0.901621, 0.075509, 0.022870, 0.939975, 0.036058, 0.023952, 0.000016, 0.256263, 0.743737)  (0.991007, 0.008993, 0.878858, 0.012559, 0.108582, 0.108696, 0.167536, 0.723767, 0.234082, 0.765918, 0.776847, 0.174927, 0.048226, 0.931607, 0.042232, 0.026129, 0.000033, 0.319586, 0.680414)  (0.990663, 0.009337, 0.898496, 0.017124, 0.084380, 0.075646, 0.086280, 0.838075, 0.158131, 0.841869, 0.594501, 0.339404, 0.066096, 0.924819, 0.051404, 0.023705, 0.000073, 0.459917, 0.540083)  (0.988741, 0.011259, 0.881522, 0.034277, 0.084201, 0.085890, 0.065091, 0.849019, 0.154338, 0.845662, 0.476742, 0.428999, 0.094259, 0.879760, 0.090967, 0.029033, 0.000240, 0.566161, 0.433839)  (0.984206, 0.015794, 0.806812, 0.094425, 0.098763, 0.143710, 0.085647, 0.770643, 0.215135, 0.784865, 0.486295, 0.339184, 0.174521, 0.733008, 0.217892, 0.048023, 0.001077, 0.548672, 0.451328)  (0.982136, 0.017864, 0.672048, 0.229380, 0.098572, 0.219215, 0.155920, 0.624865, 0.298636, 0.701364, 0.522141, 0.169452, 0.308407, 0.468651, 0.454276, 0.072849, 0.004225, 0.459866, 0.540134)  (0.982894, 0.017106, 0.539636, 0.384635, 0.075728, 0.232049, 0.328830, 0.439121, 0.339339, 0.660661, 0.559559, 0.054507, 0.385935, 0.209050, 0.694355, 0.085443, 0.011152, 0.336222, 0.663778)  (0.986223, 0.013777, 0.531036, 0.347536, 0.121428, 0.137479, 0.680134, 0.182387, 0.442394, 0.557606, 0.747635, 0.009725, 0.242640, 0.051259, 0.872288, 0.062507, 0.013946, 0.152543, 0.847457)  (0.980994, 0.019006, 0.259873, 0.380615, 0.359511, 0.082737, 0.811695, 0.105567, 0.124245, 0.875755, 0.769635, 0.003222, 0.227143, 0.023655, 0.864295, 0.091372, 0.020677, 0.109164, 0.890836)  (0.964137, 0.035863, 0.361938, 0.488710, 0.149352, 0.070198, 0.844468, 0.085334, 0.075977, 0.924023, 0.592070, 0.001887, 0.406042, 0.050374, 0.668727, 0.244929, 0.035970, 0.119935, 0.880065)  (0.931114, 0.068886, 0.522343, 0.451651, 0.026006, 0.049764, 0.864276, 0.085960, 0.108256, 0.891744, 0.304746, 0.002569, 0.692685, 0.118913, 0.361990, 0.454867, 0.064229, 0.138318, 0.861682)  (0.809603, 0.190397, 0.655560, 0.321582, 0.022858, 0.036850, 0.774361, 0.188789, 0.170368, 0.829632, 0.163183, 0.004639, 0.832179, 0.050823, 0.218426, 0.566428, 0.164323, 0.251624, 0.748376)  (0.495858, 0.504142, 0.726600, 0.243877, 0.029523, 0.025944, 0.486482, 0.487574, 0.184790, 0.815210, 0.088053, 0.020897, 0.891050, 0.025477, 0.123726, 0.452253, 0.398544, 0.557172, 0.442828)  (0.204029, 0.795971, 0.687698, 0.284103, 0.028199, 0.011087, 0.204826, 0.784086, 0.254492, 0.745508, 0.032045, 0.072013, 0.895942, 0.021528, 0.048850, 0.294615, 0.635007, 0.836674, 0.163326)  (0.073658, 0.926342, 0.455273, 0.520400, 0.024327, 0.003662, 0.092712, 0.903626, 0.516680, 0.483320, 0.009841, 0.220056, 0.770103, 0.017565, 0.021123, 0.252805, 0.708507, 0.940140, 0.059860)  (0.024077, 0.975923, 0.193849, 0.783763, 0.022388, 0.001101, 0.045341, 0.953558, 0.785094, 0.214906, 0.003071, 0.387145, 0.609784, 0.015773, 0.012674, 0.246105, 0.725449, 0.982685, 0.017315)  

1. (0.996916, 0.003084, 0.893879, 0.015095, 0.091026, 0.072562, 0.440988, 0.486451, 0.509666, 0.490334, 0.839919, 0.091102, 0.068979, 0.932765, 0.027496, 0.039712, 0.000027, 0.412742, 0.587258)  (0.994882, 0.005118, 0.893043, 0.016521, 0.090436, 0.044636, 0.274920, 0.680445, 0.340312, 0.659688, 0.664083, 0.213184, 0.122733, 0.932173, 0.030830, 0.036738, 0.000259, 0.475427, 0.524573)  (0.994570, 0.005430, 0.880656, 0.021679, 0.097665, 0.033855, 0.136821, 0.829324, 0.234017, 0.765983, 0.448263, 0.422633, 0.129104, 0.930610, 0.038524, 0.030485, 0.000382, 0.611878, 0.388122)  (0.993812, 0.006188, 0.854396, 0.039442, 0.106161, 0.037012, 0.075272, 0.887715, 0.212775, 0.787225, 0.317252, 0.544517, 0.138231, 0.903430, 0.064189, 0.031683, 0.000698, 0.705119, 0.294881)  (0.991081, 0.008919, 0.745078, 0.111498, 0.143424, 0.062664, 0.083189, 0.854147, 0.303293, 0.696707, 0.328652, 0.433552, 0.237795, 0.783497, 0.162221, 0.052029, 0.002252, 0.645758, 0.354242)  (0.989299, 0.010701, 0.545964, 0.290906, 0.163130, 0.096154, 0.144612, 0.759234, 0.435997, 0.564003, 0.374933, 0.219220, 0.405847, 0.530818, 0.375006, 0.086170, 0.008007, 0.478476, 0.521524)  (0.989559, 0.010441, 0.356600, 0.525485, 0.117914, 0.117053, 0.288566, 0.594381, 0.468394, 0.531606, 0.446413, 0.074956, 0.478632, 0.252688, 0.614964, 0.111323, 0.021025, 0.289493, 0.710507)  (0.991871, 0.008129, 0.199498, 0.726111, 0.074390, 0.315874, 0.412635, 0.271490, 0.513767, 0.486233, 0.697626, 0.016559, 0.285815, 0.062833, 0.824055, 0.085300, 0.027812, 0.118096, 0.881904)  (0.987933, 0.012067, 0.192878, 0.656939, 0.150183, 0.062128, 0.764413, 0.173459, 0.180198, 0.819802, 0.713662, 0.008274, 0.278064, 0.028237, 0.799890, 0.123733, 0.048140, 0.100138, 0.899862)  (0.983075, 0.016925, 0.238227, 0.704829, 0.056944, 0.030280, 0.887575, 0.082145, 0.142992, 0.857008, 0.556231, 0.005295, 0.438473, 0.112918, 0.599421, 0.222075, 0.065586, 0.089692, 0.910308)  (0.980699, 0.019301, 0.165500, 0.826292, 0.008208, 0.012762, 0.956757, 0.030481, 0.209407, 0.790593, 0.165165, 0.214516, 0.620319, 0.269335, 0.219393, 0.424300, 0.086971, 0.057448, 0.942552)  (0.924384, 0.075616, 0.252370, 0.733025, 0.014604, 0.015367, 0.911656, 0.072977, 0.539010, 0.460990, 0.122144, 0.006048, 0.871807, 0.112711, 0.269893, 0.358963, 0.258433, 0.129232, 0.870768)  (0.688167, 0.311833, 0.410537, 0.551647, 0.037816, 0.019255, 0.685937, 0.294808, 0.470366, 0.529634, 0.107412, 0.026976, 0.865612, 0.031838, 0.198829, 0.396511, 0.372822, 0.400235, 0.599765)  (0.460422, 0.539578, 0.375707, 0.581019, 0.043274, 0.009358, 0.239769, 0.750872, 0.311217, 0.688783, 0.043278, 0.088790, 0.867932, 0.029778, 0.058756, 0.222868, 0.688598, 0.834973, 0.165027)  (0.090966, 0.909034, 0.316021, 0.639681, 0.044298, 0.003764, 0.119328, 0.876908, 0.629297, 0.370703, 0.015889, 0.317973, 0.666138, 0.028534, 0.028358, 0.188142, 0.754965, 0.942127, 0.057873)  (0.022803, 0.977197, 0.125036, 0.839361, 0.035603, 0.001109, 0.057341, 0.941550, 0.846556, 0.153444, 0.004389, 0.505224, 0.490387, 0.022170, 0.017120, 0.142212, 0.818498, 0.985902, 0.014098)  

2. (0.998355, 0.001645, 0.926713, 0.010297, 0.062990, 0.021733, 0.644445, 0.333821, 0.618670, 0.381330, 0.687373, 0.098575, 0.214052, 0.914490, 0.021007, 0.064452, 0.000050, 0.650116, 0.349884)  (0.997607, 0.002393, 0.894341, 0.013397, 0.092262, 0.014506, 0.544202, 0.441292, 0.432746, 0.567254, 0.481111, 0.164695, 0.354195, 0.914186, 0.027022, 0.058556, 0.000236, 0.705954, 0.294046)  (0.996167, 0.003833, 0.822279, 0.027276, 0.150445, 0.016576, 0.314378, 0.669045, 0.385133, 0.614867, 0.374031, 0.300193, 0.325776, 0.897680, 0.041850, 0.059895, 0.000576, 0.722825, 0.277175)  (0.994738, 0.005262, 0.732698, 0.058588, 0.208715, 0.020816, 0.134450, 0.844733, 0.394993, 0.605007, 0.283793, 0.424037, 0.292171, 0.866309, 0.071523, 0.060761, 0.001406, 0.742927, 0.257073)  (0.993342, 0.006658, 0.583677, 0.143402, 0.272920, 0.028510, 0.091486, 0.880004, 0.487677, 0.512323, 0.256236, 0.346469, 0.397295, 0.766288, 0.153084, 0.076312, 0.004315, 0.684345, 0.315655)  (0.992871, 0.007129, 0.380840, 0.334988, 0.284172, 0.035416, 0.117940, 0.846643, 0.592277, 0.407723, 0.280702, 0.179451, 0.539847, 0.552789, 0.320089, 0.113015, 0.014107, 0.514794, 0.485206)  (0.993343, 0.006657, 0.222850, 0.587437, 0.189713, 0.036839, 0.221853, 0.741307, 0.572260, 0.427740, 0.376858, 0.069200, 0.553941, 0.289414, 0.505167, 0.169388, 0.036032, 0.312427, 0.687573)  (0.993003, 0.006997, 0.155429, 0.759592, 0.084978, 0.051333, 0.420166, 0.528501, 0.418145, 0.581855, 0.542725, 0.030935, 0.426340, 0.110819, 0.632941, 0.188308, 0.067933, 0.169919, 0.830081)  (0.991383, 0.008617, 0.142683, 0.821600, 0.035717, 0.035326, 0.652161, 0.312513, 0.250702, 0.749298, 0.680163, 0.017263, 0.302574, 0.041262, 0.666529, 0.189737, 0.102472, 0.136028, 0.863972)  (0.987189, 0.012811, 0.156304, 0.827756, 0.015940, 0.033534, 0.815464, 0.151003, 0.259529, 0.740471, 0.617647, 0.008675, 0.373678, 0.053894, 0.570200, 0.232066, 0.143840, 0.143290, 0.856710)  (0.982649, 0.017351, 0.111879, 0.878214, 0.009908, 0.022019, 0.928449, 0.049533, 0.562290, 0.437710, 0.265483, 0.004676, 0.729842, 0.116530, 0.357563, 0.265693, 0.260215, 0.109361, 0.890639)  (0.971162, 0.028838, 0.066893, 0.922228, 0.010879, 0.013357, 0.959447, 0.027196, 0.822824, 0.177176, 0.102590, 0.003437, 0.893974, 0.043621, 0.300322, 0.215787, 0.440270, 0.087426, 0.912574)  (0.814648, 0.185352, 0.154696, 0.790947, 0.054357, 0.028369, 0.842694, 0.128937, 0.697948, 0.302052, 0.175105, 0.024232, 0.800664, 0.046353, 0.255177, 0.313125, 0.385345, 0.316725, 0.683275)  (0.387916, 0.612084, 0.229985, 0.629528, 0.140487, 0.029076, 0.508776, 0.462148, 0.562654, 0.437346, 0.177196, 0.128149, 0.694654, 0.086908, 0.129282, 0.293895, 0.489915, 0.769563, 0.230437)  (0.092262, 0.907738, 0.122973, 0.759610, 0.117417, 0.009173, 0.399685, 0.591141, 0.774564, 0.225436, 0.056375, 0.255573, 0.688052, 0.062418, 0.061591, 0.162699, 0.713293, 0.959492, 0.040508)  (0.037868, 0.962132, 0.077353, 0.786681, 0.135966, 0.003828, 0.172003, 0.824168, 0.840812, 0.159188, 0.018154, 0.436370, 0.545476, 0.065224, 0.061183, 0.160239, 0.713353, 0.988078, 0.011922)  

3. (0.999031, 0.000969, 0.949531, 0.005278, 0.045191, 0.013005, 0.825721, 0.161274, 0.721892, 0.278108, 0.414670, 0.268081, 0.317249, 0.863450, 0.042495, 0.093952, 0.000103, 0.854460, 0.145540)  (0.999104, 0.000896, 0.948761, 0.006864, 0.044375, 0.003428, 0.871756, 0.124816, 0.308048, 0.691952, 0.383942, 0.297895, 0.318163, 0.915145, 0.032938, 0.051771, 0.000146, 0.930207, 0.069793)  (0.996188, 0.003812, 0.781480, 0.027250, 0.191270, 0.008513, 0.529817, 0.461670, 0.555128, 0.444872, 0.290076, 0.160625, 0.549299, 0.801015, 0.075794, 0.122263, 0.000928, 0.831171, 0.168829)  (0.993564, 0.006436, 0.561840, 0.073832, 0.364328, 0.011011, 0.221288, 0.767701, 0.662638, 0.337362, 0.253125, 0.212133, 0.534742, 0.776197, 0.089463, 0.131397, 0.002942, 0.783996, 0.216004)  (0.993053, 0.006947, 0.377624, 0.161834, 0.460542, 0.011742, 0.102169, 0.886089, 0.711712, 0.288288, 0.207463, 0.181451, 0.611086, 0.726666, 0.137916, 0.127230, 0.008188, 0.721408, 0.278592)  (0.993931, 0.006069, 0.232448, 0.354675, 0.412878, 0.013030, 0.087661, 0.899310, 0.701986, 0.298014, 0.250090, 0.106436, 0.643473, 0.545955, 0.246047, 0.184377, 0.023621, 0.555198, 0.444802)  (0.996992, 0.003008, 0.091432, 0.755023, 0.153545, 0.010197, 0.088604, 0.901199, 0.733484, 0.266516, 0.607480, 0.049532, 0.342988, 0.365613, 0.223361, 0.376275, 0.034751, 0.399861, 0.600139)  (0.995422, 0.004578, 0.116160, 0.783453, 0.100387, 0.025719, 0.266576, 0.707705, 0.383806, 0.616194, 0.536429, 0.083968, 0.379604, 0.119342, 0.407360, 0.370030, 0.103268, 0.189792, 0.810208)  (0.994019, 0.005981, 0.105353, 0.861140, 0.033507, 0.043593, 0.431328, 0.525079, 0.251365, 0.748635, 0.697688, 0.054330, 0.247981, 0.056481, 0.425485, 0.341056, 0.176977, 0.169210, 0.830790)  (0.989193, 0.010807, 0.099498, 0.885006, 0.015496, 0.068782, 0.586480, 0.344737, 0.263368, 0.736632, 0.739685, 0.020915, 0.239400, 0.055150, 0.396217, 0.288301, 0.260332, 0.231705, 0.768295)  (0.979079, 0.020921, 0.082652, 0.901436, 0.015912, 0.081008, 0.761673, 0.157319, 0.504179, 0.495821, 0.531758, 0.008386, 0.459855, 0.068664, 0.324512, 0.278758, 0.328066, 0.271703, 0.728297)  (0.907044, 0.092956, 0.061308, 0.910008, 0.028683, 0.073466, 0.862555, 0.063978, 0.668623, 0.331377, 0.354701, 0.017847, 0.627452, 0.105735, 0.263458, 0.256702, 0.374105, 0.302656, 0.697344)  (0.574640, 0.425360, 0.062850, 0.820975, 0.116176, 0.075310, 0.841918, 0.082772, 0.449985, 0.550015, 0.464121, 0.079533, 0.456346, 0.266696, 0.145748, 0.288075, 0.299480, 0.603289, 0.396711)  (0.315856, 0.684144, 0.065263, 0.616867, 0.317870, 0.062116, 0.762532, 0.175352, 0.395561, 0.604439, 0.551261, 0.073094, 0.375645, 0.150981, 0.111968, 0.420831, 0.316220, 0.885873, 0.114127)  (0.161411, 0.838589, 0.054880, 0.551627, 0.393493, 0.034618, 0.610394, 0.354988, 0.615996, 0.384004, 0.277360, 0.211719, 0.510921, 0.132158, 0.154844, 0.332847, 0.380152, 0.973310, 0.026690)  (0.067557, 0.932443, 0.043103, 0.481654, 0.475243, 0.013383, 0.542546, 0.444071, 0.794194, 0.205806, 0.061478, 0.383258, 0.555264, 0.125201, 0.173579, 0.323310, 0.377910, 0.992009, 0.007991)  

4. (0.998785, 0.001215, 0.783868, 0.004101, 0.212031, 0.195344, 0.744686, 0.059970, 0.936566, 0.063434, 0.152439, 0.648558, 0.199004, 0.839290, 0.068828, 0.091600, 0.000282, 0.951103, 0.048897)  (0.997258, 0.002742, 0.780991, 0.181357, 0.037651, 0.007999, 0.891712, 0.100289, 0.861606, 0.138394, 0.115822, 0.167981, 0.716197, 0.771035, 0.127250, 0.101312, 0.000403, 0.957673, 0.042327)  (0.988380, 0.011620, 0.806995, 0.024741, 0.168264, 0.009053, 0.558219, 0.432728, 0.822941, 0.177059, 0.201987, 0.137694, 0.660319, 0.487106, 0.287677, 0.223388, 0.001829, 0.893438, 0.106562)  (0.978072, 0.021928, 0.526187, 0.070315, 0.403498, 0.008747, 0.300440, 0.690813, 0.861324, 0.138676, 0.207018, 0.104725, 0.688257, 0.596920, 0.141336, 0.253177, 0.008567, 0.818919, 0.181081)  (0.977959, 0.022041, 0.297125, 0.159024, 0.543851, 0.006842, 0.124559, 0.868599, 0.826837, 0.173163, 0.184182, 0.092200, 0.723618, 0.646649, 0.114003, 0.224979, 0.014369, 0.726553, 0.273447)  (0.984577, 0.015423, 0.184260, 0.346203, 0.469537, 0.008180, 0.067723, 0.924098, 0.670510, 0.329490, 0.237581, 0.097731, 0.664688, 0.485612, 0.166992, 0.310908, 0.036488, 0.514776, 0.485224)  (0.991451, 0.008549, 0.124783, 0.615973, 0.259243, 0.013203, 0.071325, 0.915472, 0.407003, 0.592997, 0.339068, 0.197122, 0.463809, 0.227829, 0.185345, 0.517123, 0.069703, 0.258540, 0.741460)  (0.995160, 0.004840, 0.092606, 0.813656, 0.093737, 0.022755, 0.105562, 0.871683, 0.199013, 0.800987, 0.444264, 0.267114, 0.288622, 0.082151, 0.156221, 0.642110, 0.119519, 0.121880, 0.878120)  (0.995725, 0.004275, 0.082168, 0.889480, 0.028352, 0.047019, 0.177355, 0.775626, 0.136115, 0.863885, 0.697203, 0.152901, 0.149896, 0.050885, 0.157422, 0.515897, 0.275796, 0.130500, 0.869500)  (0.993433, 0.006567, 0.072049, 0.917192, 0.010759, 0.096550, 0.256461, 0.646989, 0.144096, 0.855904, 0.854225, 0.040507, 0.105268, 0.075054, 0.150879, 0.344660, 0.429406, 0.215924, 0.784076)  (0.981293, 0.018707, 0.071835, 0.913378, 0.014787, 0.202338, 0.393616, 0.404046, 0.251622, 0.748378, 0.839799, 0.014049, 0.146152, 0.166585, 0.147490, 0.268767, 0.417159, 0.400985, 0.599015)  (0.752868, 0.247132, 0.058997, 0.904243, 0.036759, 0.246628, 0.605364, 0.148008, 0.301609, 0.698391, 0.706411, 0.071139, 0.222450, 0.394544, 0.102027, 0.188981, 0.314448, 0.622659, 0.377341)  (0.143949, 0.856051, 0.013730, 0.919151, 0.067118, 0.056469, 0.682344, 0.261187, 0.075091, 0.924909, 0.326171, 0.405876, 0.267952, 0.792901, 0.019644, 0.102173, 0.085282, 0.850541, 0.149459)  (0.141957, 0.858043, 0.017354, 0.434932, 0.547714, 0.057014, 0.906828, 0.036158, 0.127347, 0.872653, 0.799376, 0.064055, 0.136569, 0.203527, 0.044105, 0.398295, 0.354073, 0.934714, 0.065286)  (0.177853, 0.822147, 0.027952, 0.400785, 0.571263, 0.069429, 0.812804, 0.117767, 0.520244, 0.479756, 0.446551, 0.215732, 0.337717, 0.127427, 0.179730, 0.494961, 0.197882, 0.988163, 0.011837)  (0.051387, 0.948613, 0.013399, 0.311529, 0.675072, 0.020195, 0.641283, 0.338522, 0.894368, 0.105632, 0.053758, 0.689944, 0.256298, 0.066342, 0.145603, 0.702883, 0.085173, 0.997622, 0.002378)  

